MASTERID,STRATUM,WT_A,income,logincome,region,numadults,numchildren,age,female,medicaid,insured,ownhome,educcat,racecat
00239270E,71,196.6209106,80000,11.28979441,A,2,2,45,0,0,1,1,8,1
00240857F,44,45.94023514,,,M,2,0,69,0,0,1,1,7,1
00247838F,84,102.2973785,95000,11.4616427,M,2,2,53,1,0,1,1,4,2
00250299B,86,279.0323792,60000,11.00211651,M,2,0,67,0,0,1,1,7,1
00252607F,85,76.55699158,55000,10.91510665,M,1,0,50,1,0,1,0,8,1
00253458J,22,573.0134277,46000,10.73641841,S,2,3,36,0,0,1,1,7,1
00257579G,103,672.5928955,100000,11.51293547,M,3,0,25,1,0,1,1,5,1
00268489E,100,21.79086876,,,M,2,0,50,1,0,0,0,5,1
00273646H,83,199.6016235,100000,11.51293547,M,3,0,49,0,0,1,1,7,4
00277772H,71,25.05387497,50000,10.81979828,M,1,0,86,0,1,1,1,8,1
00279151B,91,58.10387421,10000,9.210440367,M,1,0,60,1,0,0,0,4,2
00282658E,84,134.3697052,42000,10.64544871,M,1,0,49,1,0,1,0,7,2
00292509L,23,24.86925888,200000,12.20607765,R,2,0,51,1,0,1,1,8,1
00294958E,98,400.8546143,9000,9.105090961,M,1,0,21,0,0,0,0,4,1
00295852L,44,37.33202744,,,M,2,0,69,1,0,1,1,4,1
00298161L,71,293.1100464,150000,11.91839724,M,2,3,39,0,0,1,1,8,1
00302089H,94,11.7499857,0,0,M,1,0,57,0,1,1,0,4,2
00302205H,70,117.7910156,30000,10.30898599,R,1,0,80,0,0,1,1,3,1
00302398J,31,9.339532852,19000,9.852246888,A,1,0,64,0,1,1,0,5,1
00310210L,71,164.868454,,,M,2,1,45,1,0,1,1,4,1
00310350H,94,31.96997833,12000,9.392745259,M,1,0,85,1,0,1,0,5,2
00314673K,8,23.30414581,30000,10.30898599,A,2,0,74,1,0,1,1,4,1
00315457B,89,672.5356445,50000,10.81979828,M,3,2,56,0,0,1,1,4,1
00315610A,7,50.94324493,,,A,1,0,61,1,1,1,0,5,1
00315956E,77,84.00884247,,,R,2,0,67,1,0,1,1,5,1
00316228K,10,34.60905457,,,A,2,2,40,1,0,1,1,4,1
00316577J,33,17.99294853,,,A,2,0,65,1,0,1,1,4,1
00320855E,55,119.1854706,75000,11.22525673,A,2,0,97,0,0,1,1,5,1
00322322F,92,121.2372589,9300,9.1378772,M,1,0,57,1,0,0,0,5,1
00323753J,90,369.7654419,6876,8.835937789,M,1,0,44,1,1,1,0,2,2
00324371C,67,95.45563507,,,R,2,0,52,0,0,1,1,5,1
00325783F,52,9.808802605,29000,10.27508559,A,2,0,80,1,0,1,1,6,1
00326170J,72,374.1926575,80000,11.28979441,S,2,0,40,0,0,1,1,8,1
00332732F,42,576.4230347,70000,11.15626481,S,2,0,31,1,0,1,1,5,1
00335474A,72,69.27871704,12000,9.392745259,S,1,0,72,1,0,1,1,6,1
00337332E,72,123.1570358,,,S,1,0,37,0,0,1,0,4,2
00337893E,101,96.89984894,,,M,2,0,75,0,0,1,1,8,3
00338880A,9,41.27037811,,,M,1,0,85,1,0,1,1,4,1
00339632H,40,496.2975464,,,S,2,0,59,1,0,1,1,8,1
00339781J,14,774.3040161,65000,11.08215793,R,3,0,18,0,0,1,1,4,1
00340199F,60,29.06575584,,,S,1,0,66,1,0,1,1,8,1
00341904B,10,21.48221588,20000,9.903537551,A,1,0,87,0,0,1,1,4,1
00344132E,100,8.827344894,9620,9.171703488,M,1,0,65,1,0,1,1,4,2
00344310B,38,109.2773056,,,A,1,0,75,1,0,1,1,3,2
00346989J,95,240.3208618,70000,11.15626481,M,2,0,57,1,0,1,1,8,1
00347120L,17,143.7958832,12000,9.392745259,R,1,0,71,0,0,1,1,3,1
00347273C,74,38.35725021,120000,11.69525536,S,2,3,52,1,0,1,1,8,1
00347430E,86,656.9974976,43000,10.66897865,S,2,0,56,0,0,1,0,5,1
00349168J,99,24.56650353,15000,9.615872145,M,1,0,88,1,0,1,1,6,1
00349669G,87,117.2281952,46000,10.73641841,M,1,0,36,1,0,1,1,7,2
00350876B,89,128.3137054,,,M,1,0,59,1,0,1,1,7,1
00352003J,46,49.64242172,40000,10.59665973,M,1,0,56,1,0,1,1,4,1
00352557L,98,80.41900635,10320,9.241935934,M,1,0,77,0,0,1,0,4,1
00354297H,84,139.1868439,,,M,1,0,49,0,1,1,0,4,2
00355625A,4,220.5908356,336000,12.72486942,R,2,0,63,1,0,0,1,2,1
00358700L,86,140.1498413,,,M,1,0,79,1,0,1,1,5,1
00359481F,101,259.8035584,,,M,4,4,43,1,0,0,0,3,3
00361093F,75,30.34489822,27000,10.20362918,R,2,0,75,1,0,1,1,4,1
00368900F,100,11.14427567,8436,9.040382074,M,1,0,74,1,0,1,1,4,1
00373581L,75,239.5329285,45000,10.71443999,R,2,0,59,0,0,1,1,4,1
00376114C,79,26.83226013,18000,9.798182591,R,1,0,84,1,0,1,1,5,1
00377022J,15,91.67928314,,,A,2,3,50,1,0,1,1,5,1
00380091L,94,39.05340576,14400,9.575052928,M,1,0,82,1,0,1,1,4,2
00382466G,33,88.96281433,80000,11.28979441,A,2,2,48,1,0,1,1,4,1
00389547F,98,85.25374603,,,M,2,0,73,0,0,1,1,6,1
00390399J,44,64.43436432,65000,11.08215793,M,2,0,53,0,0,1,1,5,1
00390754N,98,277.4638672,40000,10.59665973,M,2,0,59,0,0,1,1,4,1
00394188B,56,12.63252831,55000,10.91510665,A,1,0,56,1,0,1,0,8,1
00396570R,88,42.60374451,30000,10.30898599,M,1,0,56,1,0,1,1,4,1
00398182G,87,34.40221405,7000,8.853808275,M,1,0,67,1,1,1,1,4,2
00398515B,77,61.51295471,12000,9.392745259,R,1,0,81,1,0,1,1,4,1
00402405S,100,30.9121685,,,M,1,0,64,1,1,1,1,6,1
00407096K,9,99.74927521,45000,10.71443999,M,2,0,69,1,0,1,1,7,1
00410618K,98,229.8069305,55000,10.91510665,M,3,0,43,0,0,1,1,5,2
00411145K,53,7.264557362,,,A,2,0,47,1,0,1,1,4,1
00414892H,103,649.0764771,75000,11.22525673,S,2,0,70,0,0,1,0,4,1
00418573A,44,41.23370361,,,M,2,0,40,1,0,1,1,7,1
00423527L,100,72.94181824,65000,11.08215793,M,2,2,39,1,0,1,1,7,1
00424638B,68,83.31732941,10000,9.210440367,A,2,4,36,1,1,1,0,6,1
00426515G,46,36.06568909,48000,10.77897712,M,1,0,54,1,0,1,1,8,1
00428283J,15,49.7946434,28000,10.2399955,A,1,0,73,1,0,1,0,5,1
00432693L,103,774.3040161,100000,11.51293547,S,4,0,20,0,0,1,1,4,1
00433046C,15,166.2218475,80000,11.28979441,A,4,4,46,1,0,1,1,7,1
00433391L,30,72.206604,9336,9.141740281,R,1,0,69,1,0,1,0,3,1
00433940G,70,60.10393906,,,R,2,0,70,1,0,1,1,4,1
00435088C,13,68.43682098,,,A,1,1,50,0,0,1,0,5,1
00435222A,103,774.3040161,12000,9.392745259,S,1,0,23,0,0,1,0,7,1
00436945L,83,651.8114014,100,4.615120517,M,1,0,35,0,0,1,0,4,2
00437484C,61,18.60772896,28000,10.2399955,A,1,1,32,1,0,1,1,4,1
00438101E,71,79.47066498,,,M,1,0,77,1,0,1,1,4,1
00438540F,77,153.0819855,11172,9.321255433,R,1,0,60,0,0,1,0,4,1
00440084C,47,72.62350464,80000,11.28979441,R,1,0,51,0,0,1,1,4,1
00442116F,72,409.585022,35000,10.46313191,S,3,0,53,1,0,1,0,4,1
00442176H,94,11.69275475,12000,9.392745259,M,1,0,61,0,1,1,0,4,1
00442646A,9,280.2129517,78000,11.26447693,M,2,0,59,0,0,1,1,4,1
00446712K,71,161.1589661,,,M,2,0,59,1,0,1,1,8,1
00447101J,79,78.91407776,30000,10.30898599,R,2,0,66,0,1,1,1,3,1
00449904F,79,71.87781525,55000,10.91510665,R,2,0,73,0,0,1,1,7,1
00454773F,93,60.48086548,70000,11.15626481,M,1,0,60,0,0,1,1,8,1
00460244W,93,275.772583,65000,11.08215793,M,1,0,55,1,0,1,1,6,1
00463259J,36,118.8914261,50000,10.81979828,R,2,0,55,1,0,1,1,3,1
00465542R,98,167.2691956,30000,10.30898599,M,3,0,49,1,0,1,1,4,1
00465741J,26,170.2162323,100000,11.51293547,S,2,0,74,0,0,1,1,7,1
00467524A,94,46.62833786,10968,9.302828391,M,1,0,59,1,1,1,0,4,2
00468797L,25,32.85639572,,,A,1,0,67,0,0,1,1,4,1
00472362H,8,12.08659458,25000,10.1266711,A,1,0,57,1,0,1,1,4,1
00474571F,71,175.5527344,,,M,2,3,41,1,0,1,1,6,1
00475050G,12,103.1052856,200000,12.20607765,S,1,0,92,1,0,1,1,4,1
00477913E,46,397.4527283,15600,9.655090294,S,2,0,66,1,0,1,1,3,1
00480514H,85,78.30548859,,,M,1,0,75,1,0,1,1,4,1
00482984J,99,92.30075836,110000,11.60824474,M,2,2,45,0,0,1,1,8,1
00483285A,43,35.69122315,28000,10.2399955,R,2,0,65,1,0,1,1,6,1
00484075K,28,119.7345047,,,A,2,0,54,0,0,1,1,4,1
00485924F,103,695.3408203,,,S,5,0,23,1,0,1,1,6,1
00486759G,71,108.5338593,45000,10.71443999,M,2,0,75,1,0,1,1,8,1
00487722H,77,37.22613525,45000,10.71443999,A,1,0,78,1,0,1,1,8,1
00488760B,9,64.74189758,100000,11.51293547,M,2,2,34,1,0,1,1,4,3
00489962K,9,43.12275696,30000,10.30898599,M,2,0,82,0,1,1,1,7,1
00495153J,44,52.10242462,64000,11.06665399,M,2,0,62,1,0,1,1,4,1
00496043F,17,158.4107666,,,R,3,0,85,0,0,1,1,4,1
00501815C,46,122.7842255,,,M,2,0,58,0,0,1,1,8,1
00503103C,98,38.15319443,,,M,1,0,89,1,0,1,0,7,1
00504461K,4,104.644455,90000,11.40757606,R,3,0,50,1,0,1,1,6,1
00506442E,26,180.4997253,,,M,3,0,52,1,0,1,1,4,1
00507773J,33,3.572769404,32000,10.37352243,A,1,0,58,1,0,1,1,8,1
00508062J,9,455.8841248,100000,11.51293547,R,2,2,39,0,0,1,1,4,1
00508396J,50,46.43822861,64000,11.06665399,R,2,2,38,0,0,1,1,4,3
00513802L,72,101.4545212,25200,10.13463896,S,2,0,86,1,0,1,1,4,1
00521706E,35,13.4440546,10320,9.241935934,A,1,0,78,1,0,1,1,7,1
00523629E,87,366.0406189,90000,11.40757606,M,2,3,39,0,0,1,1,6,2
00525610G,81,487.6599121,50000,10.81979828,S,2,2,32,0,0,1,1,4,1
00527921K,92,257.2611389,60000,11.00211651,M,2,0,47,1,0,1,1,4,1
00528152E,13,220.7410736,499000,13.12036338,M,2,1,35,0,0,1,1,8,1
00530180B,46,91.257164,85000,11.3504183,M,2,0,61,0,0,1,1,6,1
00531191F,83,138.7886353,,,M,1,0,50,1,0,1,1,8,1
00532165K,65,736.1240845,8400,9.036106025,M,3,0,22,0,1,1,1,4,1
00534043G,57,113.1027756,50000,10.81979828,R,2,0,69,0,0,1,1,4,1
00535445A,44,130.9183807,38000,10.54536775,M,3,1,25,1,1,1,0,5,1
00537760C,19,50.10823822,30000,10.30898599,R,1,0,63,0,0,1,1,4,1
00538140J,54,36.45178986,,,R,1,0,64,1,1,1,0,4,1
00540175H,34,644.7321167,21000,9.952325335,A,2,3,23,1,0,0,0,3,1
00541459F,41,67.10781097,50000,10.81979828,A,2,0,70,0,0,1,1,4,1
00541487L,3,228.4572754,30000,10.30898599,R,2,0,48,0,0,1,1,4,1
00544266E,103,687.0886231,80000,11.28979441,M,2,0,26,0,0,1,1,7,1
00544389G,52,42.39813614,,,R,2,1,22,1,1,1,0,4,1
00545491A,79,31.19451332,9600,9.169622539,R,1,4,46,1,1,1,0,5,1
00546311K,55,135.1724091,,,A,2,0,51,1,0,1,1,4,1
00547733J,46,47.85774231,,,M,1,0,75,1,0,1,1,4,1
00548146C,58,8.578108788,,,R,1,0,66,1,0,1,1,5,1
00550159B,44,71.56860352,41000,10.62135174,M,1,0,67,0,0,1,0,7,1
00550353B,101,137.6956329,37000,10.51870022,M,2,0,24,0,1,1,1,3,3
00550677F,73,201.2278137,,,A,2,0,26,1,0,1,0,4,1
00554908J,70,31.17264748,21000,9.952325335,R,1,1,47,1,0,1,1,4,1
00558030G,44,14.27640057,85000,11.3504183,M,3,3,23,1,1,1,0,4,3
00561256B,66,57.808918,75000,11.22525673,A,2,2,45,1,0,1,1,8,1
00562468G,101,240.3512878,16000,9.680406499,R,2,5,18,0,1,1,0,3,3
00567594K,81,58.37155533,12000,9.392745259,S,1,0,72,1,0,1,0,4,1
00568695E,84,105.8659439,,,M,2,0,81,1,0,1,1,4,1
00570439K,6,47.29734039,500000,13.12236538,S,1,0,60,1,0,1,1,4,1
00570716C,27,267.1862793,,,S,2,0,61,1,0,1,1,4,2
00574403B,87,101.936409,34000,10.43414522,M,1,1,41,1,0,1,0,5,2
00574838E,22,398.5944824,,,S,2,0,54,0,0,1,1,7,1
00576161H,26,171.6045532,120000,11.69525536,S,2,3,38,0,0,1,1,6,1
00578042C,22,669.4056397,7000,8.853808275,S,2,0,30,0,1,1,1,4,1
00578464K,37,609.9039917,13000,9.472781557,A,2,0,44,0,0,0,1,2,1
00578918A,63,85.15526581,18000,9.798182591,R,2,0,70,0,0,1,1,4,1
00583739B,85,140.5995941,14000,9.546884035,M,2,1,47,1,0,0,1,4,2
00584246J,94,24.80459786,36000,10.491302,M,1,1,43,1,0,1,1,4,2
00588853B,27,429.4035645,130000,11.77529742,S,2,1,38,1,0,1,1,4,1
00592667B,44,41.79633713,16000,9.680406499,M,1,0,63,0,0,1,0,5,1
00597820G,42,227.1694031,100000,11.51293547,S,2,0,59,1,0,1,1,8,1
00600868C,75,60.34293366,0,0,R,2,0,53,1,0,0,0,3,2
00606406H,98,35.12282944,,,M,1,0,59,1,0,1,1,6,1
00613462F,69,187.9937897,50000,10.81979828,R,2,3,32,0,0,1,1,7,1
00614317K,13,82.24486542,,,A,2,0,65,1,0,1,1,4,1
00618890A,11,774.3040161,80000,11.28979441,R,3,0,24,0,0,1,1,6,1
00620076G,84,200.8964386,60000,11.00211651,M,1,0,33,1,0,1,1,7,1
00623136G,98,53.07829666,20000,9.903537551,M,1,1,41,1,1,1,0,5,1
00623490H,101,19.57770538,35000,10.46313191,M,1,0,49,0,0,1,1,3,3
00624744E,85,154.9664917,7200,8.881975184,M,2,0,60,0,0,1,0,5,2
00626498L,16,24.04335594,100000,11.51293547,A,2,0,49,1,0,1,1,6,1
00627318J,72,628.2285767,100000,11.51293547,S,2,0,29,0,0,1,1,6,1
00628016J,57,687.0886231,7000,8.853808275,R,4,1,25,0,0,0,1,4,1
00630308H,56,62.85882568,8000,8.987321813,A,3,0,67,1,1,1,0,2,1
00631425E,54,113.4210434,55000,10.91510665,R,3,1,38,1,0,1,1,4,1
00631634G,71,106.9257889,13000,9.472781557,M,1,0,77,1,0,1,1,4,1
00632542A,90,278.7148438,26000,10.16589028,M,1,0,56,0,0,1,1,4,1
00632547G,85,102.2693024,17000,9.741027445,M,1,0,67,1,0,1,0,3,2
00633711J,101,105.365242,100000,11.51293547,M,2,1,52,0,0,1,1,8,3
00635111L,38,280.3916931,,,A,3,1,44,0,0,1,1,4,1
00637341F,73,88.25744629,75000,11.22525673,A,2,0,44,1,0,1,1,6,1
00637375J,82,25.94564056,3720,8.221747728,R,1,3,27,1,1,1,1,4,1
00645779W,83,614.5460815,102000,11.5327379,M,2,0,61,0,0,1,1,7,1
00646481G,67,23.8572979,,,R,1,0,61,1,0,1,1,7,1
00647521G,32,24.35502243,,,R,1,0,74,1,0,1,0,4,1
00649012C,98,239.1485748,100000,11.51293547,M,5,0,56,0,0,1,1,6,1
00650532B,65,562.984436,,,M,2,0,59,0,0,1,0,4,1
00651090G,64,22.89864159,18000,9.798182591,R,1,1,46,1,0,1,0,5,1
00652411B,36,114.2672882,60000,11.00211651,R,2,3,34,1,0,1,1,6,1
00652469A,85,169.9997101,,,M,2,2,40,1,1,1,0,6,2
00656236F,94,17.19677734,12000,9.392745259,M,1,0,60,0,0,0,1,6,1
00658148F,99,152.9122772,,,M,2,0,62,1,0,1,1,4,1
00658322A,4,65.04547119,100000,11.51293547,R,3,0,51,0,0,1,1,4,3
00658809C,54,118.1597748,,,R,2,0,50,1,0,1,1,3,1
00659666A,57,33.25531387,25000,10.1266711,R,1,0,78,1,0,1,1,5,1
00660215H,19,37.59899902,100000,11.51293547,R,1,0,58,0,0,1,1,4,1
00665303J,59,33.157444,50000,10.81979828,A,2,0,56,1,0,1,1,6,1
00666235K,92,308.6035767,600,6.398594935,M,1,0,45,0,0,1,0,4,1
00667341G,98,148.7967377,70000,11.15626481,M,2,0,40,1,0,1,1,7,1
00667388F,54,206.5651398,15000,9.615872145,R,2,4,31,0,0,1,1,8,1
00669177C,90,284.3005066,100000,11.51293547,M,3,1,46,1,0,1,1,7,2
00670680E,95,240.3208618,63000,11.05090588,M,2,0,54,1,0,1,1,6,1
00673977E,62,506.2000732,55000,10.91510665,S,2,1,47,1,0,1,1,4,1
00679896E,100,15.45299053,8088,8.998260393,M,1,0,57,1,1,1,0,3,1
00680317G,101,56.02954865,,,M,1,0,55,1,0,1,1,4,3
00680580B,86,477.0895691,12720,9.45100945,M,1,0,90,1,0,1,1,3,1
00681154L,94,52.90250778,25000,10.1266711,M,3,1,55,1,0,1,0,5,1
00681741J,54,36.84524918,72000,11.18443529,R,2,0,39,1,0,1,1,8,1
00682737B,103,659.2058716,22000,9.998843186,M,2,0,79,1,0,1,1,3,1
00687064G,103,590.9709473,,,S,1,1,30,1,0,1,1,5,1
00687332G,9,49.8746376,2500,7.824445931,M,1,0,73,1,0,1,1,5,1
00688851F,2,28.96728897,10000,9.210440367,M,1,0,68,1,1,1,0,4,1
00693572H,47,148.2399902,28000,10.2399955,R,3,0,50,0,0,1,1,7,1
00694393K,94,37.41907883,9000,9.105090961,M,2,1,46,1,0,1,1,4,1
00696899J,19,54.1917305,,,R,2,0,61,1,0,1,1,4,1
00697761H,32,226.8401794,120000,11.69525536,R,3,0,27,0,0,1,1,4,1
00698830F,83,178.5973663,22000,9.998843186,M,1,0,66,0,0,1,1,5,1
00705884K,72,65.78594208,16000,9.680406499,S,1,0,85,1,0,1,0,5,2
00711988F,97,54.02783585,40000,10.59665973,M,1,0,70,0,0,1,1,4,1
00718037H,45,247.4998169,1400,7.244941546,S,2,0,41,0,0,0,0,4,1
00718373Z,44,687.0886231,17000,9.741027445,M,1,0,30,0,0,1,0,4,1
00721786J,95,352.2250366,110000,11.60824474,M,2,3,43,1,0,1,1,7,1
00723075A,71,149.1846466,,,M,4,0,66,1,1,1,0,4,1
00726213L,21,60.0174675,30000,10.30898599,R,1,0,67,0,0,1,1,4,1
00728248B,103,340.2333679,100000,11.51293547,M,2,0,38,1,0,1,1,8,1
00728596J,46,183.6069336,25000,10.1266711,M,2,0,63,0,0,1,1,4,1
00735729E,89,256.6274109,60000,11.00211651,M,2,0,58,1,0,1,1,7,1
00737512E,63,49.57203674,50000,10.81979828,R,2,0,58,1,0,1,1,4,1
00737856A,95,229.4963074,30000,10.30898599,M,1,0,70,0,0,1,1,4,1
00738001B,15,191.5830383,,,A,1,0,44,0,0,1,1,4,1
00738734F,17,73.37316132,30000,10.30898599,R,2,0,68,1,0,1,1,4,1
00739825C,91,225.0975494,150000,11.91839724,M,2,0,57,1,0,1,1,8,1
00743629G,66,277.7349243,,,S,4,0,25,1,0,1,1,5,1
00745063X,83,644.7830811,32000,10.37352243,M,2,0,76,0,0,1,1,4,1
00745549H,87,335.6656189,,,M,5,1,56,1,0,1,1,8,1
00747130C,85,30.21895599,,,M,1,0,57,1,0,1,1,7,2
00751106K,50,18.99071121,125000,11.73607702,R,2,2,43,1,0,1,1,8,1
00756454Z,98,98.32410431,,,M,2,0,83,0,0,1,1,5,1
00758006A,83,277.5772705,,,M,2,0,55,1,0,1,1,5,1
00758086H,37,50.07028961,77000,11.25157369,A,2,0,57,1,0,1,0,4,1
00758183H,81,113.183197,,,S,1,0,84,1,0,1,1,3,1
00758276J,44,37.85290527,80000,11.28979441,M,2,0,55,1,0,1,1,7,1
00758578A,13,526.3359375,150000,11.91839724,A,2,3,32,1,0,1,1,4,1
00759387L,9,187.38797,60000,11.00211651,M,2,2,54,0,0,1,1,6,1
00759600L,95,217.7598877,45000,10.71443999,M,2,0,75,1,0,1,1,8,1
00761570C,100,21.25946617,100000,11.51293547,M,2,2,30,1,0,1,1,8,2
00764848B,97,431.4697876,25000,10.1266711,M,2,0,77,0,0,1,1,3,2
00769658G,86,309.3400879,,,M,2,1,45,1,0,1,1,5,1
00769793J,98,672.5356445,,,S,3,3,50,0,0,1,1,4,1
00771176B,3,88.51615143,,,R,2,0,65,1,0,1,1,4,1
00773209H,86,171.6191406,,,M,1,0,54,0,0,1,0,7,2
00777735C,12,687.0886231,38000,10.54536775,S,2,2,29,0,0,0,1,4,1
00790429E,91,126.3725052,42000,10.64544871,M,1,0,53,1,0,1,0,5,2
00790592A,31,7.947375774,28800,10.26816539,A,1,0,62,1,0,1,0,6,1
00790760B,87,82.43700409,,,M,1,1,40,1,0,1,1,8,1
00790972C,103,774.3040161,160000,11.98293534,M,2,1,18,0,0,1,1,3,1
00791084J,98,31.82554627,26000,10.16589028,M,1,0,77,1,0,1,1,5,1
00795347J,86,425.7894898,90000,11.40757606,M,2,0,47,1,0,1,1,4,1
